Trip Seconds,Trip Miles,Fare,Tips,Extras,Trip Total,Payment Type,Company,Weekend,Daytime
2029,14.52,36.75,8.45,5.0,50.7,Mobile,Flash Cab,True,True
2820,16.8,43.5,9.6,4.0,57.1,Credit Card,Taxi Affiliation Services,False,True
522,1.46,9.0,0.58,0.0,9.58,Mobile,Blue Ribbon Taxi Association,False,True
743,1.47,9.5,2.28,0.0,11.78,Mobile,Chicago Independents,False,True
167,0.52,4.5,0.0,1.0,5.5,Cash,City Service,False,True
1044,3.3,13.0,0.0,0.0,13.0,Prcard,Flash Cab,False,True
329,0.98,8.0,0.98,0.0,8.98,Mobile,Sun Taxi,False,True
552,1.97,8.5,0.0,0.0,8.5,Prcard,Sun Taxi,False,False
1015,9.15,24.5,0.0,0.0,24.5,Cash,City Service,False,True
1980,14.8,39.0,0.0,0.0,39.0,Unknown,Taxi Affiliation Services,False,True
1187,20.87,50.0,13.62,4.0,68.12,Credit Card,5 Star Taxi,True,False
424,2.06,8.5,3.0,0.0,12.0,Credit Card,Sun Taxi,False,False
495,2.48,9.25,1.95,0.0,11.7,Mobile,Taxicab Insurance Agency Llc,False,False
2460,0.6,30.25,0.0,0.0,30.25,Unknown,Taxi Affiliation Services,False,True
1080,2.9,12.25,2.75,1.0,16.0,Credit Card,Taxi Affiliation Services,True,True
1511,12.49,32.75,7.45,4.0,44.7,Credit Card,Taxicab Insurance Agency Llc,False,True
317,1.04,6.0,0.0,2.0,8.0,Cash,Taxicab Insurance Agency Llc,True,True
892,6.42,18.25,0.0,0.0,18.25,Prcard,City Service,False,True
1080,0.1,12.0,4.0,1.0,17.0,Credit Card,Taxi Affiliation Services,False,True
1970,13.98,36.75,4.0,5.5,46.75,Credit Card,Chicago Independents,True,False
428,0.98,8.0,10.0,0.0,18.0,Mobile,Sun Taxi,True,True
604,2.74,9.9,2.45,0.0,12.35,Mobile,Sun Taxi,False,False
1200,7.6,21.75,6.0,1.0,28.75,Credit Card,Taxi Affiliation Services,False,True
2220,16.3,40.75,11.3,4.0,56.05,Credit Card,"Taxicab Insurance Agency, LLC",False,True
205,0.52,4.75,2.0,0.0,7.25,Credit Card,Chicago Independents,False,True
375,0.84,6.0,3.0,1.0,10.5,Credit Card,Sun Taxi,False,True
420,1.1,6.5,6.5,0.0,13.5,Credit Card,Globe Taxi,False,True
3420,18.0,48.5,9.8,0.0,58.8,Credit Card,Globe Taxi,False,True
868,3.65,16.38,1.99,0.0,18.37,Mobile,Sun Taxi,True,False
2140,12.15,35.0,0.0,0.0,35.0,Prcard,Flash Cab,False,True
900,2.7,10.5,0.0,0.0,10.5,Cash,"Taxicab Insurance Agency, LLC",False,True
668,1.5,8.5,0.0,1.0,10.0,Credit Card,Blue Ribbon Taxi Association,True,True
1043,3.25,12.75,2.65,0.0,15.9,Credit Card,Taxicab Insurance Agency Llc,False,True
762,1.77,9.0,3.0,0.0,12.5,Credit Card,Flash Cab,False,True
904,4.08,13.25,0.0,0.0,13.25,Cash,Sun Taxi,False,True
1161,7.58,21.0,2.5,0.0,24.0,Credit Card,Flash Cab,False,True
